feature,importance
ema50,0.06707748383439549
ema20,0.06197669461581959
ema100,0.06052960440474671
ema_gap_50_100,0.06023573582773326
ema_gap_20_50,0.04565479078005067
atr,0.04418899929132405
volatility_20,0.041925589904759746
distance_ema100,0.04100333473925156
distance_ema50,0.03566514071037463
ema_slope_10,0.03460317071810177
volatility_10,0.0308930393162252
ema_slope_5,0.028103763823496712
volatility_ratio,0.027145561273619962
rsi,0.02621511384294202
distance_ema20,0.025401860137030743
momentum_10_atr,0.024478402263460063
volume_ratio,0.022753611148726406
return_10,0.02173520767757799
stoch_k,0.021419903782142858
momentum_10,0.020866646709590847
momentum_5_atr,0.01955663727127746
momentum_5,0.01929987706776814
return_5,0.018906517124639623
momentum_3_atr,0.018172257731218902
range,0.018017855509615748
return_3,0.017700691182758087
momentum_3,0.017047076582567412
volume_change,0.015882654067465873
return_1,0.015505409106245541
body,0.015422525858547607
body_ratio,0.015233420945554922
upper_wick_ratio,0.014851721789201225
lower_wick_ratio,0.01401276390830194
lower_wick,0.013736121026490616
upper_wick,0.012215698166109883
price_above_ema100,0.0026127761022868867
ema_cross,0.001959850328050664
price_above_ema20,0.001282409902937508
stoch_above_50,0.0011993081211642811
price_above_ema50,0.0011098010489250447
stoch_oversold,0.00101547541000057
rsi_oversold,0.000891897777959132
stoch_overbought,0.0008712215202823463
rsi_overbought,0.0008323234047487829
rsi_above_50,0.0007900542445114098
