feature,importance
ema50,0.05497054125331316
ema100,0.054401430197669555
ema20,0.05216872026057107
ema_gap_50_100,0.044800526572851065
atr,0.04054842964084149
ema_gap_20_50,0.038993618911220586
volatility_20,0.0342691618303377
ema_slope_10,0.033378175889034925
distance_ema100,0.03323004913519242
volatility_10,0.030223417711022924
volatility_ratio,0.030148528222931313
distance_ema50,0.02979342314168468
volume_ratio,0.029717434405016768
rsi,0.028925325250564987
stoch_k,0.028169886791755895
ema_slope_5,0.0277637575647067
momentum_5_atr,0.027710368788646036
distance_ema20,0.02466150100008811
momentum_3_atr,0.024368135002146955
momentum_10_atr,0.023899325803356762
return_10,0.02280927204167946
momentum_5,0.022280506284085008
momentum_10,0.021827506574963244
body_ratio,0.02122680295452207
return_5,0.021150915802610987
return_1,0.020972628666468787
return_3,0.020410308767688373
range,0.01970841502479603
volume_change,0.01932671883418748
body,0.01927300041950912
upper_wick_ratio,0.018931553151344264
momentum_3,0.01833790950850233
lower_wick_ratio,0.01752892499513031
lower_wick,0.017295661332246907
upper_wick,0.01592306109099067
ema_cross,0.0022581490405760743
price_above_ema100,0.001550081460211504
stoch_oversold,0.0012558540602810113
rsi_above_50,0.0009236618462019208
price_above_ema20,0.00089663905894336
stoch_above_50,0.0008792963706790839
rsi_overbought,0.0008342883736265313
price_above_ema50,0.0008255627334593674
stoch_overbought,0.0007802415340458928
rsi_oversold,0.0006512827002971356
