feature,importance
newyork_session,0.046606746
price_above_ema20,0.03906306
ema50,0.029325208
ema100,0.028400764
ema_gap_50_100,0.02748806
stoch_above_50,0.027466802
ema_gap_20_50,0.026889067
london_session,0.02672049
distance_ema50,0.02660305
hour,0.02617521
ema20,0.026119323
ema_slope_10,0.025262164
volatility_20,0.02524174
atr,0.025058648
distance_ema100,0.024638435
distance_ema20,0.024216266
adx,0.023615913
momentum_10,0.022891188
rsi,0.022415714
volatility_10,0.022273175
stoch_oversold,0.022127386
return_10,0.022078337
ema_slope_5,0.021989193
rsi_oversold,0.021986788
return_5,0.021581518
stoch_k,0.020406106
momentum_5_atr,0.019693492
momentum_10_atr,0.019647488
asia_session,0.019590711
volatility_ratio,0.019308284
volume_ratio,0.019244498
return_3,0.019024612
range,0.018973557
momentum_5,0.018447151
body,0.01725654
return_1,0.01678189
body_ratio,0.016028458
momentum_3,0.01591213
lower_wick_ratio,0.015897285
momentum_3_atr,0.015840903
volume_change,0.015653087
price_above_ema100,0.014822108
lower_wick,0.014564106
upper_wick,0.01377376
upper_wick_ratio,0.012899608
ema_cross,0.0
rsi_overbought,0.0
rsi_above_50,0.0
price_above_ema50,0.0
stoch_overbought,0.0
