feature,importance
ema50,0.036224917
ema100,0.03581918
ema_gap_20_50,0.03207845
ema_cross,0.030681212
ema_gap_50_100,0.030651301
ema20,0.030041277
ema_slope_10,0.02959504
distance_ema50,0.029073788
distance_ema100,0.0286394
volatility_20,0.02846724
distance_ema20,0.027754217
price_above_ema20,0.027542144
atr,0.027439877
price_above_ema100,0.026860993
stoch_oversold,0.025778092
volatility_10,0.025497945
return_10,0.025474712
momentum_10,0.025190663
rsi_oversold,0.02485244
ema_slope_5,0.024797916
rsi,0.024767075
volume_ratio,0.023901911
momentum_10_atr,0.023436543
stoch_k,0.023361325
momentum_5,0.02298352
momentum_5_atr,0.022259671
lower_wick,0.021155788
return_5,0.020970687
return_3,0.020547329
volatility_ratio,0.020254578
body_ratio,0.020207504
range,0.020194324
momentum_3,0.020019721
return_1,0.019560749
momentum_3_atr,0.019445991
volume_change,0.019016493
body,0.018948765
upper_wick_ratio,0.017310593
lower_wick_ratio,0.016983584
upper_wick,0.016529303
rsi_above_50,0.015683776
rsi_overbought,0.0
price_above_ema50,0.0
stoch_above_50,0.0
stoch_overbought,0.0
