entry_time,exit_time,signal,entry,sl,tp,result,profit,saldo,buy_probability,sell_probability
2026-05-18 05:21:00,2026-05-18 05:26:00,BUY,4534.22,4530.925714285715,4539.161428571429,WIN,450000.0,10450000.0,0.5522366438726004,0.44776335612739954
2026-05-18 05:36:00,2026-05-18 05:48:00,BUY,4534.91,4531.591428571429,4539.887857142857,WIN,470250.0,10920250.0,0.6041959698917317,0.3958040301082682
2026-05-18 06:00:00,2026-05-18 06:05:00,BUY,4533.01,4529.932857142858,4537.625714285715,LOSS,-327607.5,10592642.5,0.5779205592388497,0.42207944076115034
2026-05-18 06:27:00,2026-05-18 06:37:00,BUY,4537.13,4534.129285714286,4541.631071428572,LOSS,-317779.27499999997,10274863.225,0.5599895990350542,0.44001040096494665
2026-05-18 07:21:00,2026-05-18 07:23:00,BUY,4542.83,4540.675,4546.0625,LOSS,-308245.89674999996,9966617.32825,0.5558169592737293,0.4441830407262709
2026-05-18 07:53:00,2026-05-18 08:19:00,BUY,4543.35,4540.727857142858,4547.283214285715,WIN,448497.77977125003,10415115.10802125,0.5590096317218266,0.4409903682781739
2026-05-18 09:25:00,2026-05-18 09:27:00,BUY,4545.92,4542.885,4550.4725,LOSS,-312453.4532406375,10102661.654780613,0.5577322769664701,0.4422677230335303
2026-05-18 10:03:00,2026-05-18 10:18:00,BUY,4546.27,4544.2071428571435,4549.364285714286,LOSS,-303079.8496434184,9799581.805137195,0.5920649253308604,0.40793507466913953
2026-05-18 11:28:00,2026-05-18 11:29:00,BUY,4549.2,4547.158571428571,4552.262142857143,LOSS,-293987.4541541158,9505594.35098308,0.5605864349545933,0.4394135650454085
2026-05-18 13:47:00,2026-05-18 13:48:00,BUY,4547.06,4544.669285714286,4550.646071428572,LOSS,-285167.83052949235,9220426.520453587,0.5872397024755224,0.4127602975244778
2026-05-18 14:36:00,2026-05-18 14:43:00,BUY,4543.56,4540.601428571429,4547.997857142857,WIN,414919.19342041144,9635345.713874,0.5927666137808266,0.4072333862191736
2026-05-18 15:39:00,2026-05-18 15:42:00,SELL,4561.48,4564.798571428571,4556.502142857143,LOSS,-289060.37141622,9346285.342457779,0.4464403868237683,0.5535596131762316
2026-05-18 16:06:00,2026-05-18 16:22:00,BUY,4563.69,4560.107857142857,4569.063214285714,WIN,420582.8404106,9766868.182868378,0.5566823559082922,0.4433176440917073
2026-05-18 16:45:00,2026-05-18 16:55:00,BUY,4571.86,4566.752857142857,4579.520714285714,WIN,439509.06822907703,10206377.251097456,0.5681747211197152,0.43182527888028466
2026-05-18 17:01:00,2026-05-18 17:16:00,BUY,4570.15,4566.5992857142855,4575.476071428571,LOSS,-306191.31753292365,9900185.933564533,0.5706778421791292,0.4293221578208711
2026-05-18 19:12:00,2026-05-18 19:21:00,BUY,4546.96,4544.882142857143,4550.0767857142855,WIN,445508.3670104039,10345694.300574936,0.5594675273938079,0.440532472606193
